,app_country,schengen_state,year,app,total_issued,mev_issued,ltv,rejected,code_schengen,code_app,visa_free,asyl_app,rejection_rate
0,Afghanistan,Czech Republic,2015,56.0,20.0,1.0,36.0,0.0,CZ,AF,False,25.0,0.0
1,Afghanistan,Czech Republic,2016,32.0,25.0,2.0,6.0,0.0,CZ,AF,False,35.0,0.0
2,Afghanistan,Czech Republic,2017,41.0,33.0,10.0,3.0,5.0,CZ,AF,False,15.0,12.195121951219512
3,Afghanistan,Czech Republic,2018,108.0,64.0,26.0,41.0,1.0,CZ,AF,False,20.0,0.9259259259259258
4,Afghanistan,Czech Republic,2019,94.0,88.0,23.0,4.0,2.0,CZ,AF,False,20.0,2.127659574468085
5,Afghanistan,Czech Republic,2020,31.0,21.0,5.0,10.0,0.0,CZ,AF,False,5.0,0.0
6,Afghanistan,Czech Republic,2021,5.0,5.0,0.0,0.0,0.0,CZ,AF,False,175.0,0.0
7,Afghanistan,Denmark,2012,74.0,59.0,5.0,0.0,7.0,DK,AF,False,565.0,9.45945945945946
8,Afghanistan,Denmark,2013,124.0,68.0,14.0,34.0,17.0,DK,AF,False,410.0,13.709677419354838
9,Afghanistan,Denmark,2014,93.0,71.0,5.0,14.0,6.0,DK,AF,False,305.0,6.451612903225806
10,Afghanistan,Denmark,2015,88.0,75.0,6.0,9.0,0.0,DK,AF,False,2215.0,0.0
11,Afghanistan,Denmark,2016,86.0,64.0,13.0,23.0,2.0,DK,AF,False,1110.0,2.3255813953488373
12,Afghanistan,Denmark,2017,47.0,41.0,8.0,3.0,3.0,DK,AF,False,170.0,6.382978723404255
13,Afghanistan,Denmark,2018,69.0,50.0,3.0,8.0,2.0,DK,AF,False,115.0,2.898550724637681
14,Afghanistan,Denmark,2019,29.0,21.0,4.0,7.0,1.0,DK,AF,False,90.0,3.4482758620689653
15,Afghanistan,Denmark,2021,12.0,3.0,3.0,9.0,0.0,DK,AF,False,555.0,0.0
16,Afghanistan,France,2012,1189.0,1143.0,141.0,0.0,46.0,FR,AF,False,515.0,3.8687973086627423
17,Afghanistan,France,2013,1544.0,1411.0,244.0,10.0,123.0,FR,AF,False,525.0,7.966321243523317
18,Afghanistan,France,2014,1873.0,1353.0,401.0,9.0,511.0,FR,AF,False,575.0,27.282434596903364
19,Afghanistan,France,2015,2928.0,1605.0,383.0,18.0,1268.0,FR,AF,False,2410.0,43.30601092896175
20,Afghanistan,France,2016,2432.0,1387.0,383.0,23.0,922.0,FR,AF,False,6015.0,37.911184210526315
21,Afghanistan,France,2017,1508.0,920.0,419.0,43.0,567.0,FR,AF,False,6600.0,37.59946949602122
22,Afghanistan,France,2018,677.0,656.0,388.0,50.0,3.0,FR,AF,False,11885.0,0.4431314623338257
23,Afghanistan,France,2019,466.0,423.0,176.0,31.0,12.0,FR,AF,False,11685.0,2.575107296137339
24,Afghanistan,France,2020,129.0,117.0,44.0,23.0,0.0,FR,AF,False,10000.0,0.0
25,Afghanistan,France,2021,225.0,205.0,152.0,64.0,0.0,FR,AF,False,16005.0,0.0
26,Afghanistan,Germany,2012,2892.0,1571.0,22.0,0.0,1321.0,DE,AF,False,7500.0,45.677731673582294
27,Afghanistan,Germany,2013,2828.0,1309.0,41.0,54.0,1465.0,DE,AF,False,7735.0,51.8033946251768
28,Afghanistan,Germany,2014,2444.0,1320.0,49.0,45.0,1079.0,DE,AF,False,9115.0,44.148936170212764
29,Afghanistan,Germany,2015,2219.0,1011.0,65.0,134.0,1074.0,DE,AF,False,31380.0,48.400180261379
