app_country,schengen_state,year,app,total_issued,mev_issued,ltv,rejected,code_schengen,code_app,visa_free
Afghanistan,Czechia,2015,56,20,1,36,0,CZ,AF,f
Afghanistan,Czechia,2016,32,25,2,6,0,CZ,AF,f
Afghanistan,Czechia,2017,41,33,10,3,5,CZ,AF,f
Afghanistan,Czechia,2018,108,64,26,41,1,CZ,AF,f
Afghanistan,Czechia,2019,94,88,23,4,2,CZ,AF,f
Afghanistan,Czechia,2020,31,21,5,10,0,CZ,AF,f
Afghanistan,Czechia,2021,5,5,0,0,0,CZ,AF,f
Afghanistan,Denmark,2009,1,0,0,0,0,DK,AF,f
Afghanistan,Denmark,2010,31,25,10,0,6,DK,AF,f
Afghanistan,Denmark,2011,68,48,7,0,3,DK,AF,f
Afghanistan,Denmark,2012,74,59,5,0,7,DK,AF,f
Afghanistan,Denmark,2013,124,68,14,34,17,DK,AF,f
Afghanistan,Denmark,2014,93,71,5,14,6,DK,AF,f
Afghanistan,Denmark,2015,88,75,6,9,0,DK,AF,f
Afghanistan,Denmark,2016,86,64,13,23,2,DK,AF,f
Afghanistan,Denmark,2017,47,41,8,3,3,DK,AF,f
Afghanistan,Denmark,2018,69,50,3,8,2,DK,AF,f
Afghanistan,Denmark,2019,29,21,4,7,1,DK,AF,f
Afghanistan,Denmark,2021,12,3,3,9,0,DK,AF,f
Afghanistan,France,2009,667,657,0,0,10,FR,AF,f
Afghanistan,France,2010,883,870,63,0,13,FR,AF,f
Afghanistan,France,2011,1139,1133,86,0,6,FR,AF,f
Afghanistan,France,2012,1189,1143,141,0,46,FR,AF,f
Afghanistan,France,2013,1544,1411,244,10,123,FR,AF,f
Afghanistan,France,2014,1873,1353,401,9,511,FR,AF,f
Afghanistan,France,2015,2928,1605,383,18,1268,FR,AF,f
Afghanistan,France,2016,2432,1387,383,23,922,FR,AF,f
Afghanistan,France,2017,1508,920,419,43,567,FR,AF,f
Afghanistan,France,2018,677,656,388,50,3,FR,AF,f
Afghanistan,France,2019,466,423,176,31,12,FR,AF,f
Afghanistan,France,2020,129,117,44,23,0,FR,AF,f
Afghanistan,France,2021,225,205,152,64,0,FR,AF,f
Afghanistan,Germany,2009,3257,1781,0,0,1476,DE,AF,f
Afghanistan,Germany,2010,3507,2188,24,0,1319,DE,AF,f
Afghanistan,Germany,2011,3488,2065,35,0,1423,DE,AF,f
Afghanistan,Germany,2012,2892,1571,22,0,1321,DE,AF,f
Afghanistan,Germany,2013,2828,1309,41,54,1465,DE,AF,f
Afghanistan,Germany,2014,2444,1320,49,45,1079,DE,AF,f
Afghanistan,Germany,2015,2219,1011,65,134,1074,DE,AF,f
Afghanistan,Germany,2016,2688,1351,307,174,1163,DE,AF,f
Afghanistan,Germany,2017,1059,389,91,197,473,DE,AF,f
Afghanistan,Germany,2019,406,112,85,17,277,DE,AF,f
Afghanistan,Germany,2021,95,22,18,6,67,DE,AF,f
Afghanistan,Italy,2009,231,221,0,0,10,IT,AF,f
Afghanistan,Italy,2010,235,207,190,0,28,IT,AF,f
Afghanistan,Italy,2011,210,178,143,0,32,IT,AF,f
Afghanistan,Italy,2012,471,417,324,0,54,IT,AF,f
Afghanistan,Italy,2013,715,428,137,167,120,IT,AF,f
Afghanistan,Italy,2014,810,439,120,124,247,IT,AF,f
Afghanistan,Italy,2015,1147,212,88,464,471,IT,AF,f
Afghanistan,Italy,2016,569,227,50,83,259,IT,AF,f
Afghanistan,Italy,2017,306,187,61,14,105,IT,AF,f
Afghanistan,Italy,2018,128,89,49,35,4,IT,AF,f
Afghanistan,Italy,2019,169,127,56,7,35,IT,AF,f
Afghanistan,Italy,2020,46,44,33,1,1,IT,AF,f
Afghanistan,Italy,2021,316,288,29,0,28,IT,AF,f
Afghanistan,Netherlands,2009,126,114,0,0,12,NL,AF,f
Afghanistan,Netherlands,2010,220,169,39,0,51,NL,AF,f
Afghanistan,Netherlands,2011,204,123,35,0,1,NL,AF,f
Afghanistan,Netherlands,2012,252,198,26,0,4,NL,AF,f
Afghanistan,Netherlands,2013,183,141,18,37,5,NL,AF,f
Afghanistan,Netherlands,2014,167,142,15,21,0,NL,AF,f
Afghanistan,Netherlands,2015,118,84,12,30,1,NL,AF,f
Afghanistan,Netherlands,2016,87,73,21,13,0,NL,AF,f
Afghanistan,Netherlands,2017,178,159,41,19,0,NL,AF,f
Afghanistan,Netherlands,2018,218,161,26,51,0,NL,AF,f
Afghanistan,Netherlands,2019,266,204,42,42,49,NL,AF,f
Afghanistan,Netherlands,2020,73,51,12,19,0,NL,AF,f
Afghanistan,Netherlands,2021,37,25,14,9,3,NL,AF,f
Afghanistan,Norway,2009,16,13,0,0,3,NO,AF,f
Afghanistan,Norway,2010,30,27,1,0,3,NO,AF,f
Afghanistan,Norway,2011,5,5,1,0,0,NO,AF,f
Afghanistan,Norway,2012,30,27,1,0,3,NO,AF,f
Afghanistan,Norway,2013,8,6,1,0,2,NO,AF,f
Afghanistan,Norway,2017,55,33,8,16,6,NO,AF,f
Afghanistan,Norway,2018,55,37,11,17,1,NO,AF,f
Afghanistan,Norway,2019,39,22,8,15,2,NO,AF,f
Afghanistan,Norway,2020,4,3,1,1,0,NO,AF,f
Afghanistan,Poland,2009,187,176,0,0,11,PL,AF,f
Afghanistan,Poland,2010,308,262,0,0,46,PL,AF,f
Afghanistan,Poland,2011,392,317,3,0,34,PL,AF,f
Afghanistan,Poland,2012,633,516,27,0,117,PL,AF,f
Afghanistan,Poland,2013,742,412,41,214,116,PL,AF,f
Afghanistan,Poland,2014,549,282,27,140,127,PL,AF,f
Afghanistan,Spain,2009,115,46,0,0,69,ES,AF,f
Afghanistan,Spain,2010,224,209,2,0,15,ES,AF,f
Afghanistan,Spain,2011,330,254,0,0,50,ES,AF,f
Afghanistan,Spain,2012,217,120,3,0,71,ES,AF,f
Afghanistan,Spain,2013,338,215,2,0,96,ES,AF,f
Afghanistan,Spain,2014,346,67,1,70,111,ES,AF,f
Afghanistan,Spain,2015,328,210,7,13,95,ES,AF,f
Afghanistan,Spain,2016,12,4,0,8,0,ES,AF,f
Afghanistan,Spain,2017,35,6,3,24,4,ES,AF,f
Afghanistan,Spain,2018,60,4,3,50,4,ES,AF,f
Afghanistan,Spain,2019,177,122,33,63,1,ES,AF,f
Afghanistan,Spain,2020,59,35,11,16,5,ES,AF,f
Afghanistan,Spain,2021,90,79,21,14,0,ES,AF,f
Afghanistan,Sweden,2015,29,4,3,15,0,SE,AF,f
Afghanistan,Sweden,2016,54,34,7,9,0,SE,AF,f
Afghanistan,Sweden,2017,27,24,6,2,0,SE,AF,f
Afghanistan,Sweden,2018,35,21,3,0,3,SE,AF,f
Afghanistan,Sweden,2019,30,27,2,1,0,SE,AF,f
Afghanistan,Sweden,2020,11,8,0,0,0,SE,AF,f
Albania,Austria,2009,4279,3856,0,0,423,AT,AL,t
Albania,Austria,2010,3172,3040,1477,0,132,AT,AL,t
Albania,Austria,2011,68,54,34,0,14,AT,AL,t
Albania,Austria,2012,29,21,14,0,8,AT,AL,t
Albania,Austria,2013,25,15,15,9,1,AT,AL,t
Albania,Austria,2014,32,31,18,0,1,AT,AL,t
Albania,Austria,2015,30,20,19,9,1,AT,AL,t
Albania,Austria,2016,9,9,8,0,0,AT,AL,t
Albania,Austria,2017,57,47,25,6,4,AT,AL,t
Albania,Austria,2018,62,32,10,21,9,AT,AL,t
Albania,Austria,2019,49,46,35,10,3,AT,AL,t
Albania,Austria,2020,14,9,9,5,0,AT,AL,t
Albania,Austria,2021,32,23,17,2,7,AT,AL,t
Albania,Belgium,2010,2562,2156,1103,0,406,BE,AL,t
Albania,Czechia,2009,951,837,0,0,114,CZ,AL,t
Albania,Czechia,2010,659,604,210,0,55,CZ,AL,t
Albania,Czechia,2011,8,6,6,0,2,CZ,AL,t
Albania,Czechia,2012,5,5,5,0,0,CZ,AL,t
Albania,Czechia,2013,5,4,4,1,0,CZ,AL,t
Albania,Czechia,2014,3,3,0,0,0,CZ,AL,t
